
========== fold: 0 training ==========
Train Epoch: 1 [0/3825(0%)]	Loss: 1.80140924
Train Epoch: 1 [320/3825(8%)]	Loss: 0.66183066
Train Epoch: 1 [640/3825(17%)]	Loss: 0.21923415
Train Epoch: 1 [960/3825(25%)]	Loss: 0.80264783
Train Epoch: 1 [1280/3825(33%)]	Loss: 0.78199577
Train Epoch: 1 [1600/3825(42%)]	Loss: 0.46620545
Train Epoch: 1 [1920/3825(50%)]	Loss: 0.39784735
Train Epoch: 1 [2240/3825(58%)]	Loss: 0.64855760
Train Epoch: 1 [2560/3825(67%)]	Loss: 0.61476582
Train Epoch: 1 [2880/3825(75%)]	Loss: 0.56126380
Train Epoch: 1 [3200/3825(83%)]	Loss: 0.81488359
Train Epoch: 1 [3520/3825(92%)]	Loss: 1.06594169
Train Mean Loss : 0.73250123,	Train Accuracy: 74.30,	Time : 421.66 sec	 LR : 0.00000788
Train Epoch: 2 [0/3825(0%)]	Loss: 0.39940265
Train Epoch: 2 [320/3825(8%)]	Loss: 0.35775739
Train Epoch: 2 [640/3825(17%)]	Loss: 0.88197678
Train Epoch: 2 [960/3825(25%)]	Loss: 0.87196213
Train Epoch: 2 [1280/3825(33%)]	Loss: 0.30562878
Train Epoch: 2 [1600/3825(42%)]	Loss: 0.31488320
Train Epoch: 2 [1920/3825(50%)]	Loss: 0.76460606
Train Epoch: 2 [2240/3825(58%)]	Loss: 0.68404663
Train Epoch: 2 [2560/3825(67%)]	Loss: 0.77694440
Train Epoch: 2 [2880/3825(75%)]	Loss: 0.53146082
Train Epoch: 2 [3200/3825(83%)]	Loss: 0.48810577
Train Epoch: 2 [3520/3825(92%)]	Loss: 0.69581383
Train Mean Loss : 0.62413514,	Train Accuracy: 77.31,	Time : 387.61 sec	 LR : 0.00006844
Train Epoch: 3 [0/3825(0%)]	Loss: 0.82501733
Train Epoch: 3 [320/3825(8%)]	Loss: 0.64551371
Train Epoch: 3 [640/3825(17%)]	Loss: 0.56242949
Train Epoch: 3 [960/3825(25%)]	Loss: 0.54663980
Train Epoch: 3 [1280/3825(33%)]	Loss: 0.35894045
Train Epoch: 3 [1600/3825(42%)]	Loss: 0.49687102
Train Epoch: 3 [1920/3825(50%)]	Loss: 0.45062724
Train Epoch: 3 [2240/3825(58%)]	Loss: 0.87488025
